,gold_labels,bert_labels,logr_labels,cnn_w2v,ct_bert_outputs,ct_bert_labels,bert_outputs,cnn_glove_outputs,cnn_glove_labels,cnn_w2v_outputs,cnn_w2v_labels,ct_bert_probs,bert_probs,ensemble_prob,ensemble_labels,ensemble_avg_prob,ensemble_avg_labels,ensemble_best1_prob,ensemble_best1_labels,Text,albert_outputs,albert_labels,albert_probs,cnn_w2v_probs,cnn_glove_probs,voted_bert_labels
105,0,0,0,0,"(4.9646897, -5.5877776)",0,"(2.4041142, -2.9584846)",0.00843118,0,0.00019484229,0,"(0.9999738717493494, 2.6128250650873017e-05)","(0.9953331761082503, 0.0046668238917494)",0.009810699277626391,0,"(3.991255023036594, 0.008744976963406308)",0,"(0.9999738717493494, 2.6128250650873017e-05)",0,"@USER You care more about Facebook likes than you care about American lives. You are a disgrace and a coward. May you get the nastiness you spew, returned to you. #TrumpOwnsEveryDeath #COVID19 #BoycottTrumpPressConferences #GovJayInsleeIsBetterThanYou #JayInsleeThankYou","(4.6424994, -4.642187)",0,"(0.9999071735772447, 9.282642275543403e-05)","(0.99980515771, 0.00019484229)","(0.99156882, 0.00843118)",0
106,1,1,1,1,"(-5.4325905, 5.766709)",1,"(-2.9609258, 3.3130705)",0.9973030999999999,1,0.99768794,1,"(1.3683590952550687e-05, 0.9999863164090473)","(0.0018811364163600658, 0.9981188635836402)",0.997119096742246,1,"(0.005123904616242641, 3.9948760953837574)",1,"(1.3683590952550687e-05, 0.9999863164090473)",1,City health director Dr Edwin Sibanda says all specimen which have been sent for tests to #Harare tested negative for #COVID2019. #Asakhe,"(-4.404974, 4.7927337)",1,"(0.00010126102529002851, 0.99989873897471)","(0.002312059999999949, 0.99768794)","(0.002696900000000113, 0.9973030999999999)",1
107,1,1,1,1,"(-5.491805, 5.7904663)",1,"(-2.9600773, 3.3136785)",0.9998424000000001,1,0.9999995,1,"(1.2594077500451559e-05, 0.9999874059224997)","(0.0018815880327174232, 0.9981184119672826)",0.999622908311972,1,"(0.00023945885031899963, 3.9997605411496817)",1,"(1.2594077500451559e-05, 0.9999874059224997)",1,"The number of #COVID19 cases in New York State, the hardest-hit state in U.S., has reached 66,497 with 1,218 deaths by Monday, said Gov. Cuomo at a daily news conference. HTTPURL","(-4.6075287, 4.9772215)",1,"(6.876477281872024e-05, 0.9999312352271816)","(4.999999999588667e-07, 0.9999995)","(0.00015759999999986896, 0.9998424000000001)",1
108,1,1,1,1,"(-5.485634, 5.698416)",1,"(-2.9604738, 3.3139467)",0.99896085,1,0.9999969,1,"(1.3893855110538182e-05, 0.9999861061448895)","(0.0018803401076714257, 0.9981196598923283)",0.999199313351368,1,"(0.0011008534373930891, 3.9988991465626076)",1,"(1.3893855110538182e-05, 0.9999861061448895)",1,Libya: @USER 'The first death of #Covid_19 was recorded in #Libya today. The death case is an 82-year-old non-Libyan woman living in #Tripoli. ' HTTPURL see more HTTPURL,"(-4.695017, 5.320261)",1,"(4.470958228252873e-05, 0.9999552904177178)","(3.1000000000336314e-06, 0.9999969)","(0.0010391499999999887, 0.99896085)",1
109,0,1,1,1,"(-5.416424, 5.649117)",1,"(-2.9598186, 3.31466)",0.9971507,1,0.996608,1,"(1.5641911024669923e-05, 0.9999843580889749)","(0.00188023106848982, 0.9981197689315102)",0.7645985600355807,1,"(0.0066043282089727345, 3.993395671791027)",1,"(1.5641911024669923e-05, 0.9999843580889749)",1,"More concerned about dollars than lives... In a Push to Re-Open Schools, Florida Governor Falsely Claims No One Under 25 Has Died from COVID-19 Nationwide HTTPURL via @USER","(-3.464235, 4.5004907)",1,"(0.000347386297948059, 0.9996526137020519)","(0.0033919999999999506, 0.996608)","(0.0028493000000000546, 0.9971507)",1
110,0,0,0,0,"(4.002333, -4.9413824)",0,"(2.4043925, -2.9516935)",0.12089429,0,0.0041543734,0,"(0.9998694619687624, 0.00013053803123734453)","(0.9953028260593183, 0.004697173940681754)",0.038850956623269116,0,"(2.87775627358918, 1.1222437264108194)",0,"(0.9998694619687624, 0.00013053803123734453)",0,"@USER @USER The reality is it's not just elderly people who are infected &amp; severely ill, although that is the message Trump at 73 is pushing. 50% of the coronavirus patients who are in critical condition are under age 50 in France. Both women profiled here were 29: HTTPURL HTTPURL","(-2.5274909, 3.3004553)",1,"(0.0029354750204177633, 0.997064524979582)","(0.9958456266, 0.0041543734)","(0.87910571, 0.12089429)",0
111,1,1,1,1,"(-5.483112, 5.8113666)",1,"(-2.9605386, 3.3127508)",0.9998419,1,0.9999938,1,"(1.24412742857724e-05, 0.9999875587257147)","(0.0018824641576732643, 0.9981175358423265)",0.99966537670969,1,"(0.00023743940232230916, 3.999762560597678)",1,"(1.24412742857724e-05, 0.9999875587257147)",1,"Today, Italy surpassed 10,000 dead from #Covid_19. But, today also saw 1400 recovered, the highest number of any day so far. Maybe the night really is darkest just before the dawn.","(-4.5389085, 5.1706285)",1,"(6.069812803653065e-05, 0.9999393018719638)","(6.1999999999562405e-06, 0.9999938)","(0.00015810000000004987, 0.9998419)",1
112,1,1,1,0,"(-5.39795, 5.368323)",1,"(-2.9614418, 3.3139596)",0.8981326,1,0.97223794,1,"(2.1098806163143884e-05, 0.9999789011938366)","(0.0018785000494175186, 0.9981214999505822)",0.9663425995643063,1,"(0.12971032042889225, 3.8702896795711075)",1,"(2.1098806163143884e-05, 0.9999789011938366)",1,"#BREAKING:Turns out @USER the CHIEF PEDDLER of ""#coronavirus is a liberal #HOAX meant to hurt #Trump"", has put himself under quarantine after someone at #FoxNews tested positive. CAN'T MAKE THIS STUFF UP!! #TheResistance #SaturdayThoughts #FBRParty HTTPURL","(-4.5650787, 5.1600084)",1,"(5.976162272900719e-05, 0.999940238377271)","(0.027762060000000033, 0.97223794)","(0.10186740000000005, 0.8981326)",1
113,0,0,0,0,"(5.1126285, -5.1592207)",0,"(2.4089663, -2.94895)",6.9825765e-06,0,4.4591346e-08,0,"(0.999965407850432, 3.459214956781498e-05)","(0.9953113751614635, 0.004688624838536693)",0.011493210073514094,0,"(3.9998558852069737, 0.0001441147930260327)",0,"(0.999965407850432, 3.459214956781498e-05)",0,"@USER @USER It's not your fault bats (source of SARS, Bird Flu, COVID-19, 3rd time's not a charm), it's the fault of china's CCP regime. @USER @USER","(4.702725, -4.4828644)",0,"(0.9998975045243874, 0.00010249547561221776)","(0.999999955408654, 4.4591346e-08)","(0.9999930174235, 6.9825765e-06)",0
114,0,0,1,0,"(4.8539877, -5.219153)",0,"(2.39669, -2.934767)",0.37651336,0,0.58268434,1,"(0.9999578039058535, 4.219609414614439e-05)","(0.9951862667697521, 0.004813733230248125)",0.2766032059102434,0,"(3.040631099359718, 0.959368900640281)",0,"(0.9999578039058535, 4.219609414614439e-05)",0,"1/ Good evening, North Texas. There is a lot of #COVID19 news to keep up with. If you want to stay up to date on the latest news, subscribe to our Coronavirus Update newsletter, delivered to your inbox every evening. 📩 HTTPURL","(4.6283135, -4.3272204)",0,"(0.9998709954538649, 0.00012900454613487598)","(0.41731566, 0.58268434)","(0.62348664, 0.37651336)",0
115,0,0,0,0,"(5.2377453, -5.734067)",0,"(2.4080489, -2.9454126)",0.015871162,0,0.015606818,0,"(0.9999828211138743, 1.717888612570446e-05)","(0.995290540268296, 0.004709459731704122)",0.019449953085742017,0,"(3.9683717299579575, 0.03162827004204324)",0,"(0.9999828211138743, 1.717888612570446e-05)",0,"Three @USER flights over Europe at 12.24pm yesterday. From our gallery, 'Ghost World: 20 images that show how coronavirus put a planet on pause' 👉 HTTPURL #Coronavirusireland HTTPURL","(4.6343303, -4.2898626)",0,"(0.9998668888440827, 0.00013311115591753072)","(0.984393182, 0.015606818)","(0.984128838, 0.015871162)",0
116,0,0,0,0,"(4.959649, -5.6628084)",0,"(2.40478, -2.9453366)",0.013701193,0,0.012308139,0,"(0.9999756378963571, 2.4362103643138486e-05)","(0.9952748357800717, 0.004725164219928317)",0.023529855051743848,0,"(3.973873846314687, 0.026126153685313243)",0,"(0.9999756378963571, 2.4362103643138486e-05)",0,"Otherwise, I still go to the farm daily. Realized our staff isn't really clued up with Covid-19 so I'm keeping them up to date and sharing the info I've got. Ne Bare ""ke lefu la barui,le kebe la tla hobona""🙆🏾‍♂️ but we were able to reach an understanding that that's not the case.","(4.6862445, -4.602402)",0,"(0.9999075404183297, 9.245958167010273e-05)","(0.987691861, 0.012308139)","(0.986298807, 0.013701193)",0
117,0,0,0,0,"(4.5276637, -4.2851152)",0,"(2.3954496, -2.9553933)",0.031066187000000002,0,0.058934595,0,"(0.9998512030165159, 0.00014879698348412802)","(0.9952782502222295, 0.004721749777770762)",0.03849885162954608,0,"(3.9092033772065142, 0.09079662279348624)",0,"(0.9998512030165159, 0.00014879698348412802)",0,Coronavirus: Look back at 1st week of shelter-in-place across San Francisco Bay Area HTTPURL via @USER,"(3.921358, -3.4210913)",0,"(0.999352956189998, 0.0006470438100021047)","(0.941065405, 0.058934595)","(0.968933813, 0.031066187000000002)",0
118,0,0,0,0,"(5.3027906, -5.6278763)",0,"(2.4056537, -2.9412704)",0.25571814,0,0.013887273,0,"(0.9999820995516977, 1.7900448302325676e-05)","(0.9952597982087035, 0.0047402017912964185)",0.07503240852866051,0,"(3.730282800149223, 0.2697171998507772)",0,"(0.9999820995516977, 1.7900448302325676e-05)",0,The % of COVID cases among 25-49 year olds in North Carolina is wayyy outstripping their representation in the overall population. Good data from @USER HTTPURL HTTPURL,"(4.6878304, -4.5855007)",0,"(0.9999061135975255, 9.38864024748782e-05)","(0.986112727, 0.013887273)","(0.7442818600000001, 0.25571814)",0
119,1,1,0,0,"(-5.4068713, 5.59592)",1,"(-2.9599059, 3.3141525)",0.19350551,0,0.26734188,0,"(1.6654868947500167e-05, 0.9999833451310524)","(0.001881019821146976, 0.9981189801788528)",0.61466301103651,1,"(1.539210494876385, 2.4607895051236155)",1,"(1.6654868947500167e-05, 0.9999833451310524)",1,"Myah Ward: White House reporter suspected to have coronavirus, WHCA says via ⁦@USER HTTPURL","(-4.74719, 5.349113)",1,"(4.123000743739991e-05, 0.999958769992563)","(0.73265812, 0.26734188)","(0.80649449, 0.19350551)",1
120,1,1,0,0,"(-5.4914737, 5.78656)",1,"(-2.9627655, 3.3083413)",0.8869336999999999,1,0.8901966999999998,1,"(1.2647558724269907e-05, 0.9999873524412758)","(0.001886569551245374, 0.9981134304487549)",0.9433548469165528,1,"(0.22292152306135143, 3.777078476938648)",1,"(1.2647558724269907e-05, 0.9999873524412758)",1,@USER @USER The latest: 8 Houston-area coronavirus cases linked to three in Maryland All eleven people traveled to Egypt last month and took a cruise along the Nile. HTTPURL HTTPURL,"(-4.7801037, 5.3647666)",1,"(3.9275502626939777e-05, 0.9999607244973727)","(0.10980330000000016, 0.8901966999999998)","(0.11306630000000006, 0.8869336999999999)",1
121,0,0,0,0,"(5.1118636, -5.53567)",0,"(2.4058223, -2.9529595)",0.0034544296000000004,0,0.0004891698000000001,0,"(0.9999762411949935, 2.3758805006181793e-05)","(0.9953154124088113, 0.00468458759118867)",0.015482192805874734,0,"(3.9959471835669134, 0.004052816433085678)",0,"(0.9999762411949935, 2.3758805006181793e-05)",0,"Check out COTA NSW's special edition Newsletter on COVID-19. In this addition, we talk through basic safety information for older Australians, Strength for Life updates and details on supermarket shopping. Read it below. HTTPURL HTTPURL","(4.7155066, -4.6518908)",0,"(0.9999145417719202, 8.545822807949616e-05)","(0.9995108302, 0.0004891698000000001)","(0.9965455704, 0.0034544296000000004)",0
122,0,1,0,0,"(-4.317078, 4.474129)",1,"(-2.9598644, 3.312436)",0.37440726,0,0.4774242,0,"(0.00015204119520460647, 0.9998479588047954)","(0.0018843233257800525, 0.99811567667422)",0.7106172678112314,1,"(2.148056935226051, 1.8519430647739492)",0,"(0.00015204119520460647, 0.9998479588047954)",1,"I just stopped by the Cajundome where #coronavirus screening is taking place. About 150 people have come through since it opened this morning at 9. Of those, about 30% have been on to be tested for the flu. If that comes back negative, a sample will be sent for COVID-19 testing.","(4.142489, -4.0981507)",0,"(0.9997363540308462, 0.00026364596915396765)","(0.5225758, 0.4774242)","(0.62559274, 0.37440726)",0
123,0,0,0,0,"(5.1831603, -5.5402393)",0,"(2.4017568, -2.9504418)",0.11376979,0,0.106287144,0,"(0.9999779769653602, 2.2023034639791844e-05)","(0.9952846169972407, 0.004715383002759483)",0.061089071514088863,0,"(3.779841400939805, 0.22015859906019514)",0,"(0.9999779769653602, 2.2023034639791844e-05)",0,"@USER Similar insights from New York City, based on testing of patients admitted for childbirth having far greater positive rate of COVID19 than presumed - a letter has been published in the New England Journal of Medicine &amp; a study is ongoing HTTPURL","(4.827506, -4.610383)",0,"(0.9999203579744451, 7.964202555536323e-05)","(0.893712856, 0.106287144)","(0.88623021, 0.11376979)",0
124,0,1,1,1,"(2.9063828, -2.6118126)",0,"(-2.9604425, 3.3112245)",0.8914247,1,0.97758466,1,"(0.9960029570449233, 0.00399704295507694)","(0.0018855149831131974, 0.9981144850168868)",0.9568644762289784,1,"(1.1271800777284042, 2.872819922271596)",1,"(0.9960029570449233, 0.00399704295507694)",0,"First 5 countries to reach 100k #Coronavirus cases. 1 Jan 20: US Jan 24: France Jan 27: Germany Jan 31: Italy Jan 31: Spain 50,000 Mar 21: Italy Mar 24: US Mar 26: Spain Mar 27: Germany Mar 31: France 1,00,000 Mar 27: US Mar 30: Italy Apr 1: Spain Apr 6: Germany Apr 7: France","(-4.241412, 4.3455844)",1,"(0.00018648068348096179, 0.9998135193165194)","(0.022415340000000006, 0.97758466)","(0.10857530000000004, 0.8914247)",0
125,0,0,0,0,"(5.0938663, -5.755633)",0,"(2.400713, -2.9433954)",0.60832375,1,0.9133452,1,"(0.9999805860506988, 1.9413949301113512e-05)","(0.9952464959486744, 0.004753504051325514)",0.3864179468487343,0,"(2.4782046194963874, 1.5217953805036122)",0,"(0.9999805860506988, 1.9413949301113512e-05)",0,I cannot overstate the need to provide #NHSheroes with free fresh food relieving the nightmare of struggling in shops after long &amp; stressful shifts. We are now 7th in the world for total deaths from #coronavirus putting #NHS staff at great risk. Please help #FuelFrontLine,"(4.640185, -4.502235)",0,"(0.9998929834456889, 0.00010701655431114042)","(0.08665480000000003, 0.9133452)","(0.39167624999999995, 0.60832375)",0
126,0,0,0,0,"(5.175732, -5.727226)",0,"(2.4066017, -2.9463155)",0.71380085,1,0.98384684,1,"(0.9999815966234774, 1.8403376522153005e-05)","(0.9952879882934842, 0.004712011706515733)",0.4307964481930634,0,"(2.302217429245488, 1.6977825707545118)",0,"(0.9999815966234774, 1.8403376522153005e-05)",0,"@USER “mild” disease would involve fever (99% of all COVID-19, including and not limited to “mild”), fatigue (70%), cough (59%). Occasionally patients have also reported diarrhea. There are additional reports of people having trouble smelling things, but % is hard to gauge. /4","(4.697935, -4.359762)",0,"(0.9998835226220107, 0.00011647737798945307)","(0.01615316, 0.98384684)","(0.28619914999999996, 0.71380085)",0
127,1,1,1,1,"(-5.275225, 5.674978)",1,"(-2.9589498, 3.3137944)",0.9828319999999999,1,0.9995078000000002,1,"(1.755414323239539e-05, 0.9999824458567675)","(0.0018834888233692866, 0.9981165111766308)",0.9924756625164792,1,"(0.017968262925378835, 3.982031737074621)",1,"(1.755414323239539e-05, 0.9999824458567675)",1,"Just the facts. #damnfacts CDC: 24,000 - 62,000 US flu deaths October 1, 2019 - April 1, 2020 with treatment drugs and vaccines. COVID19 deaths to date: 18,002. #Flu #Covid19 #FluFacts #Coronavirus","(-3.8382912, 4.305295)",1,"(0.0002905087821465367, 0.9997094912178535)","(0.0004921999999998317, 0.9995078000000002)","(0.017168000000000072, 0.9828319999999999)",1
128,1,1,1,1,"(-5.2787147, 5.6505475)",1,"(-2.9597428, 3.3128562)",0.954181,1,0.99893266,1,"(1.7925610279698195e-05, 0.9999820743897208)","(0.0018837618105887978, 0.9981162381894114)",0.9872350848535428,1,"(0.047015524552000296, 3.952984475448)",1,"(1.7925610279698195e-05, 0.9999820743897208)",1,"CNN is reporting that there are 598,670 reported cases of COVID19 and 25,239 deaths. That's a fatality rate of 4.2%. MUCH higher than the usual flu strains. and it's only been about two months ... #po2 #news #politics #COVID19 #coronavirus #RT","(-4.3286967, 4.7748423)",1,"(0.0001112589417205708, 0.9998887410582793)","(0.0010673399999999722, 0.99893266)","(0.045819000000000054, 0.954181)",1
129,0,0,0,0,"(4.9861283, -5.472698)",0,"(2.4001281, -2.9536765)",0.029372707,0,0.16775252,0,"(0.9999713069318857, 2.869306811459417e-05)","(0.9952921482010527, 0.00470785179894735)",0.06483656528166441,0,"(3.802649509663291, 0.1973504903367087)",0,"(0.9999713069318857, 2.869306811459417e-05)",0,"For those in the western suburbs of Chicago, the Dupage County Health Department has a map up of #Covid19 cases in the county. HTTPURL This only covers Dupage County.","(4.439332, -4.094962)",0,"(0.9998034297314053, 0.00019657026859412044)","(0.83224748, 0.16775252)","(0.970627293, 0.029372707)",0
130,1,1,1,1,"(-5.3319707, 5.7144303)",1,"(-2.9603133, 3.3091145)",0.99985063,1,0.99999785,1,"(1.59441758752607e-05, 0.9999840558241252)","(0.0018897337713145931, 0.9981102662286854)",0.9973697330505228,1,"(0.0004840162489009395, 3.9995159837511)",1,"(1.59441758752607e-05, 0.9999840558241252)",1,I should have bet on it... I said this morning we'd pass 1k confirmed cases today😞. #Idaho has also just surpassed #Oregon by more than 100 cases. Idaho has 1.75 Million ppl. Oregon has 4.2 Million. Do the math. #StayTheFAtHome or #WearAMask 😷😡! #IdahoCovid19 #CoronaUpdate,"(-3.8851252, 4.172581)",1,"(0.0003165520730256072, 0.9996834479269743)","(2.150000000034069e-06, 0.99999785)","(0.00014937000000003753, 0.99985063)",1
131,0,0,0,0,"(-5.1204147, 5.5486503)",1,"(2.403409, -2.942775)",0.7619469,1,0.98394275,1,"(2.325272443037665e-05, 0.9999767472755693)","(0.9952563053349198, 0.004743694665080299)",0.6241160404835733,1,"(1.2523344746749876, 2.747665525325012)",1,"(2.325272443037665e-05, 0.9999767472755693)",1,"Data from National Records of Scotland shows that in the last full week, registered deaths from all causes across Scotland was 60% higher than the five-year average at 1,741 deaths compared with the average of 1,098. Most of that will be #COVID19? HTTPURL","(3.4940276, -2.8246248)",0,"(0.9982008719505571, 0.0017991280494426879)","(0.016057250000000023, 0.98394275)","(0.23805310000000002, 0.7619469)",1
132,0,0,0,0,"(5.436258, -5.2086353)",0,"(2.4015632, -2.943396)",0.46487674,0,0.9373378,1,"(0.999976178383231, 2.3821616769160248e-05)","(0.9952505193099049, 0.0047494806900949)",0.35590428395175994,0,"(2.5976072780360697, 1.4023927219639303)",0,"(0.999976178383231, 2.3821616769160248e-05)",0,"@USER Bofors scandal - 60cr Coalgate scam -186000 cr Satyam scam -7855cr 2G scam -170000cr NhRM scam -10000cr CWG scam -70000cr PNB scam -14,356 cr Total - 458271 crores CoVid test cost 5000rupees How many tests could be done? 916542000 - 91 crores approx! So STFU","(4.570819, -4.2052474)",0,"(0.9998456396528386, 0.0001543603471611102)","(0.0626622, 0.9373378)","(0.53512326, 0.46487674)",0
133,1,1,1,1,"(-5.53898, 5.7919254)",1,"(-2.9603481, 3.3142147)",0.9999982,1,1.0,1,"(1.1996238731974295e-05, 0.9999880037612684)","(0.0018800730573308411, 0.9981199269426689)",0.9997100484892129,1,"(7.646902879820673e-05, 3.9999235309712016)",1,"(1.1996238731974295e-05, 0.9999880037612684)",1,JUST IN: The State Health Department confirmed that Bradley County now has a second positive case of the Coronavirus as of the State update Sunday at 3pm.,"(-4.5373335, 5.140187)",1,"(6.267279006618068e-05, 0.9999373272099334)","(0.0, 1.0)","(1.8000000000517602e-06, 0.9999982)",1
134,0,1,0,0,"(4.830892, -5.491677)",0,"(0.3425504, 0.68135786)",0.027364157000000004,0,0.032017462000000003,0,"(0.9999671185497699, 3.288145023020735e-05)","(0.4160991883412612, 0.5839008116587387)",0.21148238419390192,0,"(3.940422758578456, 0.059577241421543664)",0,"(0.9999671185497699, 3.288145023020735e-05)",0,"As India battles the virus with a total #lockdown, we recap the day's action with a #LIVE report. Watch #COVID CORNER, your most-comprehensive guide on all the latest on #Coronavirus. Tune in at 4 PM! HTTPURL","(4.5197864, -4.2034016)",0,"(0.9998372590286864, 0.00016274097131344792)","(0.967982538, 0.032017462000000003)","(0.9726358429999999, 0.027364157000000004)",0
135,0,0,1,0,"(5.3042765, -5.6209435)",0,"(2.400638, -2.9495673)",0.6236026,1,0.09935179,0,"(0.999982001785481, 1.799821451900899e-05)","(0.9952752529033924, 0.00472474709660747)",0.18707998192472552,0,"(3.274804546863151, 0.7251954531368496)",0,"(0.999982001785481, 1.799821451900899e-05)",0,Embu County Governor Martin Wambora has reached out to President Uhuru Kenyatta after his county was forced to hold Coronavirus suspect for longer due to a lack of safety kits. HTTPURL,"(3.2356899, -2.870953)",0,"(0.9977769350776695, 0.0022230649223306796)","(0.90064821, 0.09935179)","(0.3763974, 0.6236026)",0
136,1,1,1,1,"(-5.4316125, 5.733031)",1,"(-2.9602551, 3.3136961)",0.94356626,1,0.9383349,1,"(1.4166115657601168e-05, 0.9999858338843428)","(0.0018812210979206065, 0.9981187789020796)",0.9694993526671752,1,"(0.11815726499427762, 3.881842735005723)",1,"(1.4166115657601168e-05, 0.9999858338843428)",1,d23: RT JoyceHutchens3: The first ER doctor to die from the coronavirus in the US said he was infected because he had to wear the same mask 4 days in a row HTTPURL,"(-4.694111, 5.3312993)",1,"(4.425887861997676e-05, 0.9999557411213803)","(0.06166510000000003, 0.9383349)","(0.05643374000000001, 0.94356626)",1
137,1,1,1,1,"(-4.423115, 4.7192216)",1,"(-2.9610808, 3.3101356)",0.96360284,1,0.9996723,1,"(0.00010702547890869883, 0.9998929745210914)","(0.0018863631845712425, 0.9981136368154289)",0.7852201791982438,1,"(1.036419668336234, 2.963580331663766)",1,"(0.00010702547890869883, 0.9998929745210914)",1,"Migrant labourers in Gaziabad were sprayed with Sodium Hypochlorite solution (bleach) to sanitize them. Meanwhile, Kanika Kapoor has been tested for Covid-19 for the 5th time in 10 days. There are privileges even in the face of death &amp; disease.","(4.09683, -3.696718)",0,"(0.9995877828573253, 0.0004122171426746576)","(0.00032770000000004185, 0.9996723)","(0.03639716000000004, 0.96360284)",1
138,1,1,1,1,"(-5.358972, 5.647162)",1,"(-2.9591286, 3.315631)",0.99999356,1,1.0,1,"(1.659929058383805e-05, 0.9999834007094162)","(0.0018797037907775315, 0.9981202962092226)",0.9988492991995044,1,"(8.742434750726005e-05, 3.999912575652493)",1,"(1.659929058383805e-05, 0.9999834007094162)",1,Uganda Has Confirmed Its First Positive Covid-19 Case. The Confirmed Case Is A 36 Year Old Ugandan Male Who Arrived From Dubai Saturday 21 March 2020 Aboard Ethiopian Airlines Plane. Tune in right now on #EbruPrimeTime News for more updates! HTTPURL,"(-4.4942026, 5.156362)",1,"(6.438505692337004e-05, 0.9999356149430766)","(0.0, 1.0)","(6.44000000005196e-06, 0.99999356)",1
139,0,0,0,0,"(5.190319, -5.2764883)",0,"(2.1453538, -2.8851209)",0.06673944,0,0.04619867,0,"(0.9999715350133734, 2.8464986626277067e-05)","(0.9935067307735208, 0.0064932692264790225)",0.06628067424221551,0,"(3.886911228690629, 0.11308877130937045)",0,"(0.9999715350133734, 2.8464986626277067e-05)",0,"Nothing stops random dudes on Twitter telling women reporters how to do our jobs, but try and control yourselves. The numbers we have are the numbers we have. We report that data. In #Italy an explosion of 20 &amp; 30something #COVID19 cases are in critical condition. Stay in.","(4.6191177, -4.3906417)",0,"(0.9998778036772555, 0.00012219632274418628)","(0.95380133, 0.04619867)","(0.93326056, 0.06673944)",0
140,0,0,0,0,"(5.4270477, -5.693511)",0,"(2.4040725, -2.9444456)",0.026826678,0,0.009398329,0,"(0.9999851954131762, 1.4804586823595858e-05)","(0.9952673123403771, 0.004732687659622923)",0.014260245896488275,0,"(3.9636677821603676, 0.036332217839631725)",0,"(0.9999851954131762, 1.4804586823595858e-05)",0,"#COVIDー19 ""The entire point of Home Affairs was to unify previously disparate security functions; a tough-as-teak, bespoke super-portfolio dedicated to the task. Hundreds of virus cases &amp; multiple deaths later, all we’ve got is excuses."" @USER HTTPURL","(4.651964, -4.6372595)",0,"(0.9999075937471915, 9.24062528081331e-05)","(0.990601671, 0.009398329)","(0.973173322, 0.026826678)",0
141,0,0,0,0,"(5.1807785, -5.3440404)",0,"(2.4019837, -2.9516087)",0.24339402,0,0.036888123,0,"(0.9999731392853586, 2.6860714641127827e-05)","(0.9952911537935644, 0.004708846206435662)",0.08713778685842301,0,"(3.7194301493770485, 0.28056985062295076)",0,"(0.9999731392853586, 2.6860714641127827e-05)",0,The same Michigan where 40% of COVID deaths are black folks even though black folks are only 13% of the population. The same governor whose father was president and CEO of Blue Cross for 18 years. NBD.,"(4.317538, -3.933778)",0,"(0.9997391530916901, 0.0002608469083096327)","(0.963111877, 0.036888123)","(0.75660598, 0.24339402)",0
142,1,1,1,1,"(-5.4140673, 5.707674)",1,"(-2.9601574, 3.3137045)",0.96329546,1,0.9759787,1,"(1.478708952630033e-05, 0.9999852129104736)","(0.0018813887823914228, 0.9981186112176085)",0.9828205012103588,1,"(0.060885302165475226, 3.939114697834525)",1,"(1.478708952630033e-05, 0.9999852129104736)",1,"Hello everyone, For the last few days @USER had signs of flu, got herself tested &amp; it came positive for Covid-19. Kanika &amp; her family are in complete quarantine. She is feeling better now 🙏 If u have the signs pls practice self isolation &amp; get yourself tested...(1/1)","(-4.2294645, 4.611411)",1,"(0.0001446750759488935, 0.9998553249240515)","(0.024021300000000023, 0.9759787)","(0.03670454000000001, 0.96329546)",1
143,0,0,0,0,"(5.017725, -5.4094877)",0,"(2.4027214, -2.9480371)",0.0011076147999999999,0,0.00015522225,0,"(0.9999703853774949, 2.9614622505163415e-05)","(0.995277853571659, 0.0047221464283410215)",0.009591598666686544,0,"(3.9985834678372654, 0.0014165321627346897)",0,"(0.9999703853774949, 2.9614622505163415e-05)",0,"If you are deaf or hard of hearing you can now access the BSL 111 interpreter service at any time, 24/7! HTTPURL Reminder to use the online 111 service if you can. HTTPURL #coronavirus #BSL #NHS111","(4.593391, -4.401065)",0,"(0.9998759195097704, 0.00012408049022952634)","(0.99984477775, 0.00015522225)","(0.9988923852, 0.0011076147999999999)",0
144,0,0,0,0,"(5.065277, -5.750562)",0,"(2.4031458, -2.9544952)",0.025179476,0,0.009641544,0,"(0.9999799214620841, 2.0078537916009065e-05)","(0.995310090259821, 0.004689909740179063)",0.02004887898924828,0,"(3.9650550966480367, 0.03494490335196339)",0,"(0.9999799214620841, 2.0078537916009065e-05)",0,"UPDATE: Cycleway9 works suspended from 28 March Further to direction from the Government, to help reduce the spread of the coronavirus, and to protect workers, @USER have decided to cease construction of Cycleway 9, currently underway on Kew Bridge.","(4.6334424, -4.539452)",0,"(0.9998961951859524, 0.00010380481404737966)","(0.990358456, 0.009641544)","(0.974820524, 0.025179476)",0
145,0,0,0,1,"(5.4261975, -5.5959496)",0,"(2.404822, -2.9452858)",0.022331199,0,0.44760394,0,"(0.9999836643943336, 1.633560566683516e-05)","(0.9952747943949255, 0.004725205605074674)",0.12266426930087412,0,"(3.529894282390912, 0.4701057176090885)",0,"(0.9999836643943336, 1.633560566683516e-05)",0,@USER @USER @USER @USER #morgue refrigerated #truck in #hospital #newyork IMPEACHED narcissist @USER REFUSES facemasks ventilators #dpa #doctors #nurses DEAD of #coronavirus senate $1000 for humans BUY HOUSE 0% #fed rate GO $500 BILLION for #airlines LUCKY mî left #bananarepublic of #trump HTTPURL,"(4.47096, -4.305867)",0,"(0.9998457569965786, 0.00015424300342166904)","(0.55239606, 0.44760394)","(0.977668801, 0.022331199)",0
